condition,question,politics,mean,std,stde
schizophrenia,wrongness,conservative,3.76,2.045390956,0.106048581
transgender,wrongness,conservative,4.442176871,2.094118482,0.108574985
depression,wrongness,liberal,2.649546828,1.835134734,0.0629446
drugs,wrongness,liberal,4.55,1.83231401,0.06284785
fetish,wrongness,liberal,3.07480315,1.973719368,0.06769802
gay,wrongness,liberal,1.743119266,1.555143868,0.05334099
obese,wrongness,liberal,3.595982143,1.869257212,0.06411499
pedophile,wrongness,liberal,6.561764706,1.125859804,0.03861667
psychopath,wrongness,liberal,5.568807339,1.607308686,0.05513023
racist,wrongness,liberal,6.50148368,1.023894959,0.03511931
schizophrenia,wrongness,liberal,3.15407855,2.142741089,0.07349541
transgender,wrongness,liberal,2.271232877,1.789889144,0.06139269
